Vote_Share,WinLose
0.276144908,0
0.276382895,1
0.278076015,1
0.284183455,1
0.285498489,1
0.289769183,1
0.291540785,1
0.292226768,0
0.294291953,1
0.299896943,1
0.301481641,1
0.303322615,1
0.303485255,1
0.303814002,1
0.30654588,1
0.307758251,1
0.308310992,1
0.310291262,1
0.311151626,1
0.312050618,1
0.315041646,1
0.316411548,0
0.322418136,1
0.323006196,1
0.332421964,1
0.337506259,1
0.341956967,1
0.342215256,1
0.34241908,1
0.347336066,1
0.352332657,1
0.352424942,1
0.355427252,1
0.356643357,1
0.361170316,1
0.361832435,1
0.362548097,1
0.368656324,1
0.374934589,1
0.380539143,1
0.388200086,1
0.388801675,1
0.391433128,1
0.399671952,1
0.399926145,1
0.400390625,1
0.401227352,1
0.402097902,1
0.405556666,1
0.40888772,1
0.409327354,1
0.414634146,1
0.416860987,1
0.426313981,1
0.436241611,1
0.456656765,1
0.45703125,1
0.457885811,1
0.472936031,1
0.47637991,1
0.479212948,1
0.479478206,1
0.482525366,1
0.486691143,1
0.490264458,1
0.49360446,1
0.495607821,1
0.497508523,1
0.498052454,1
0.501947546,1
0.502491477,1
0.504392179,1
0.50639554,1
0.509735542,1
0.513308857,1
0.517474634,1
0.520521794,1
0.520787052,1
0.52362009,1
0.542114189,1
0.543343235,1
0.563758389,1
0.585365854,1
0.3765,1
0.3647,1
0.2891,1
0.2787,1
0.2315,0
0.2346,1
0.2573,1
0.2279,0
0.1656,0
0.3331,1
0.2553,1
0.0769,0
0.1351,0
0.3086,1
0.3583,1
0.2568,1
0.2821,1
0.2294,0
0.2374,1
0.1924,0
0.2602,1
0.2161,0
0.2285,0
0.2948,1
0.2482,1
0.2912,1
0.2765,1
0.086,0
0.1954,0
0.3476,1
0.345,1
0.3305,1
0.2465,1
0.226,0
0.4047,1
0.3209,1
0.4005,1
0.3526,1
0.3749,1
0.3618,1
0.2118,1
0.32,1
0.3005,1
0.1935,0
0.2411,1
0.3311,1
0.3181,1
0.1591,0
0.2974,1
0.234,1
0.1735,0
0.144,0
0.2202,1
0.1892,0
0.2329,1
0.1853,0
0.1881,0
0.2787,1
0.2657,1
0.2182,0
0.2234,1
0.1415,1
0.1804,0
0.1842,0
0.3137,1
0.26,1
0.1868,1
0.1161,0
0.1649,0
0.2111,1
0.1675,0
0.2384,1
0.2187,0
0.2252,1
0.2216,0
0.3035,1
0.2925,1
0.1332,0
0.3427,1
0.2352,1
0.2115,0
0.2115,1
0.1866,0
0.206,1
0.1792,0
0.2991,1
0.1421,0
0.2227,1
0.1301,0
0.0988,0
0.1755,0
0.3004,1
0.2777,1
0.1545,0
0.3368,1
0.2593,1
0.2844,1
0.1194,0
0.0566,0
0.2621,1
0.1242,0
0.2821,1
0.2287,0
0.2597,1
0.2088,0
0.3173,1
0.2854,1
0.243,1
0.1474,0
0.2664,1
0.1991,0
0.0194,0
0.1998,0
0.0267,0
0.1767,0
0.2585,1
0.2156,1
0.2263,0
0.3024,1
0.2599,1
0.2289,1
0.2261,1
0.1662,0
0.1904,0
0.3726,1
0.3131,1
0.125,0
0.2911,1
0.263,1
0.0433,0
0.1904,0
0.0581,0
0.393,1
0.3449,1
0.3648,1
0.3458,1
0.3925,1
0.3924,1
0.3013,1
0.2771,1
0.1565,0
0.2547,1
0.2235,1
0.1342,0
0.197,0
0.3493,1
0.3484,1
0.3384,1
0.3067,1
0.0755,0
0.0738,0
0.0561,0
